Ignore,P1,P2
132,6,3
132,6,6
132,10,6
132,10,12
132,14,12
132,14,18
132,18,18
132,22,18
132,22,24
132,26,24
132,26,30
132,30,30
132,34,30
132,34,36
132,38,36
132,38,42
132,42,42
132,46,42
132,46,48
132,50,48
132,50,54
132,54,54
132,58,54
132,58,60
132,62,60
132,62,66
132,66,66
132,70,66
132,70,72
132,74,72
132,74,78
132,78,78
132,82,78
132,82,84
132,86,84
132,86,90
132,90,90
132,94,90
132,94,96
132,98,96
132,98,102
132,102,102
132,106,102
132,106,108
132,110,108
132,110,114
132,114,114
132,118,114
132,118,120
132,122,120
132,122,126
132,126,126
132,130,126
132,130,132
132,134,132
